height,name,truncated,xmin,ymin,xmax,ymax,image,width
854,Pinches,0,126,641,150,656,0007,480
854,Sloper,0,180,24,244,56,0007,480
854,Sloper,0,255,24,339,65,0007,480
854,Jugs,0,104,79,124,95,0007,480
854,Pinches,0,280,125,325,172,0007,480
854,Sloper,0,217,335,249,368,0007,480
854,Sloper,0,287,194,308,219,0007,480
854,Sloper,0,277,240,335,296,0007,480
854,Jugs,0,340,416,362,441,0007,480
854,Pinches,0,190,83,228,116,0007,480
854,Jugs,0,127,148,144,161,0007,480
854,Sloper,0,58,677,91,702,0007,480
854,Crimps,0,183,450,210,470,0007,480
854,Jugs,0,95,456,115,474,0007,480
854,Sloper,0,17,335,47,403,0007,480
854,Jugs,0,19,426,33,446,0007,480
854,Jugs,0,407,354,425,372,0007,480
854,Pinches,0,149,323,170,341,0007,480
854,Crimps,0,109,398,128,416,0007,480
854,Crimps,0,176,567,191,580,0007,480
854,Pinches,0,114,575,129,600,0007,480
854,Jugs,0,54,346,72,370,0007,480
854,Jugs,0,63,272,79,290,0007,480
854,Crimps,0,25,297,41,316,0007,480
854,Pinches,0,71,180,82,204,0007,480
854,Sloper,0,181,498,199,518,0007,480
854,Pinches,0,366,403,381,417,0007,480
854,Crimps,0,194,382,212,402,0007,480
854,Jugs,0,36,525,53,544,0007,480
854,Jugs,0,261,488,281,507,0007,480
854,Crimps,0,209,202,234,219,0007,480
854,Sloper,0,77,45,113,71,0007,480
854,Sloper,0,120,18,178,42,0007,480
854,Volumes,0,17,607,41,649,0007,480
854,Volumes,0,6,637,30,681,0007,480
854,Pinches,0,43,575,58,599,0007,480
854,Crimps,0,133,502,152,520,0007,480
854,Crimps,0,135,340,154,355,0007,480
854,Crimps,0,157,360,170,377,0007,480
854,Crimps,0,131,416,149,434,0007,480
854,Crimps,0,104,525,122,543,0007,480
854,Pinches,0,253,504,274,522,0007,480
854,Crimps,0,156,676,178,692,0007,480
854,Crimps,0,117,660,132,672,0007,480
854,Sloper,0,263,163,281,176,0007,480
854,Crimps,0,303,444,330,468,0008,480
854,Crimps,0,362,161,385,183,0008,480
854,Crimps,0,367,104,390,122,0008,480
854,Crimps,0,330,250,348,270,0008,480
854,Sloper,0,280,269,310,300,0008,480
854,Crimps,0,411,485,442,514,0008,480
854,Pockets,0,203,122,263,210,0008,480
854,Pinches,0,243,350,308,442,0008,480
854,Pinches,0,214,421,263,488,0008,480
854,Crimps,0,259,251,285,275,0008,480
854,Pinches,1,441,255,480,342,0008,480
854,Pockets,0,10,140,55,176,0008,480
854,Pinches,1,222,1,268,55,0008,480
854,Crimps,0,292,89,322,110,0008,480
854,Pinches,0,307,61,334,92,0008,480
854,Pinches,0,322,35,343,51,0008,480
854,Pinches,0,288,200,318,234,0008,480
854,Jugs,0,238,219,267,251,0008,480
854,Pinches,0,255,552,276,578,0008,480
854,Crimps,0,255,631,276,647,0008,480
854,Crimps,0,213,594,235,616,0008,480
854,Pinches,0,234,329,249,343,0008,480
854,Jugs,0,34,201,58,225,0008,480
854,Jugs,0,59,388,83,415,0008,480
854,Jugs,1,1,459,24,480,0008,480
854,Jugs,0,15,227,33,249,0008,480
854,Jugs,0,165,325,204,351,0008,480
854,Jugs,0,173,68,206,98,0008,480
854,Sloper,1,170,1,208,38,0008,480
854,Crimps,0,20,485,33,507,0008,480
854,Crimps,0,34,399,50,419,0008,480
854,Jugs,0,4,114,22,140,0008,480
854,Crimps,0,134,145,151,158,0008,480
854,Crimps,0,165,186,178,203,0008,480
854,Sloper,0,331,401,349,419,0008,480
854,Sloper,0,362,550,379,569,0008,480
854,Sloper,0,266,130,285,151,0008,480
854,Sloper,0,7,616,19,627,0008,480
854,Sloper,0,25,617,40,631,0008,480
854,Sloper,0,45,542,57,551,0008,480
854,Sloper,0,66,570,80,583,0008,480
854,Crimps,0,181,575,195,588,0008,480
854,Crimps,0,206,545,219,563,0008,480
854,Sloper,0,299,181,316,202,0008,480
854,Sloper,0,287,186,304,203,0008,480
854,Pinches,0,3,658,108,704,0009,480
854,Sloper,0,66,510,174,604,0009,480
854,Sloper,1,1,416,51,497,0009,480
854,Crimps,0,102,218,129,241,0009,480
854,Crimps,0,70,262,102,284,0009,480
854,Pinches,0,103,262,160,399,0009,480
854,Pinches,0,249,136,322,212,0009,480
854,Pinches,1,280,1,342,138,0009,480
854,Jugs,0,396,4,447,54,0009,480
854,Jugs,0,358,172,405,214,0009,480
854,Jugs,0,325,327,364,364,0009,480
854,Sloper,0,188,85,284,176,0009,480
854,Pinches,0,215,709,262,746,0009,480
854,Pinches,0,411,458,444,491,0009,480
854,Sloper,0,276,608,339,656,0009,480
854,Sloper,0,299,680,355,727,0009,480
854,Sloper,1,1,572,29,634,0009,480
854,Crimps,0,271,732,297,750,0009,480
854,Crimps,0,258,767,279,786,0009,480
854,Pockets,1,382,441,480,544,0009,480
854,Sloper,0,357,576,440,647,0009,480
854,Sloper,1,448,598,480,630,0009,480
854,Sloper,0,216,794,248,821,0009,480
854,Jugs,0,307,773,334,790,0009,480
854,Jugs,0,286,658,315,683,0009,480
854,Sloper,0,360,705,388,732,0009,480
854,Crimps,1,462,551,480,568,0009,480
854,Sloper,0,352,547,380,576,0009,480
854,Crimps,0,238,684,251,695,0009,480
854,Pockets,0,358,657,385,681,0009,480
854,Sloper,0,117,35,207,154,0010,480
854,Jugs,0,46,67,97,107,0010,480
854,Jugs,0,57,201,105,237,0010,480
854,Pinches,0,150,444,214,482,0010,480
854,Pinches,0,199,285,228,347,0010,480
854,Pinches,0,134,330,209,367,0010,480
854,Sloper,0,143,369,181,436,0010,480
854,Pinches,0,128,511,161,546,0010,480
854,Sloper,0,128,627,187,668,0010,480
854,Sloper,1,415,467,480,536,0010,480
854,Crimps,0,118,425,151,447,0010,480
854,Jugs,0,197,600,218,632,0010,480
854,Sloper,0,75,666,106,699,0010,480
854,Sloper,0,74,748,107,773,0010,480
854,Sloper,0,19,758,52,791,0010,480
854,Jugs,0,238,570,271,593,0010,480
854,Pinches,0,231,493,253,539,0010,480
854,Jugs,0,214,544,238,563,0010,480
854,Jugs,0,165,567,207,603,0010,480
854,Jugs,0,255,486,279,513,0010,480
854,Jugs,0,289,467,310,486,0010,480
854,Jugs,0,160,499,182,524,0010,480
854,Jugs,0,286,442,307,466,0010,480
854,Jugs,0,367,356,399,376,0010,480
854,Jugs,0,280,374,301,391,0010,480
854,Jugs,0,319,395,342,416,0010,480
854,Jugs,0,277,388,300,423,0010,480
854,Jugs,0,259,434,291,456,0010,480
854,Jugs,0,403,183,440,218,0010,480
854,Jugs,0,216,27,253,59,0010,480
854,Jugs,0,307,430,331,453,0010,480
854,Jugs,0,251,516,277,535,0010,480
854,Jugs,0,141,677,159,698,0010,480
854,Pinches,0,208,650,223,661,0010,480
854,Sloper,0,164,496,199,559,0010,480
854,Crimps,0,98,710,119,730,0010,480
854,Jugs,0,220,721,243,743,0010,480
854,Crimps,0,113,755,128,771,0010,480
854,Crimps,0,251,535,279,558,0010,480
854,Jugs,0,437,160,469,190,0010,480
854,Crimps,0,366,529,381,550,0010,480
854,Sloper,0,320,366,346,391,0010,480
600,Sloper,0,269,468,305,512,0011,480
600,Sloper,0,290,372,344,459,0011,480
600,Sloper,0,88,75,180,214,0011,480
600,Jugs,0,65,245,93,267,0011,480
600,Crimps,0,45,224,69,246,0011,480
600,Crimps,0,50,345,86,369,0011,480
600,Pinches,0,101,427,164,517,0011,480
600,Crimps,0,51,445,66,460,0011,480
600,Crimps,0,155,405,170,425,0011,480
600,Pinches,0,84,363,117,386,0011,480
600,Pinches,0,24,203,48,225,0011,480
600,Pinches,1,1,92,87,201,0011,480
600,Sloper,0,200,345,268,429,0011,480
600,Sloper,0,109,209,214,324,0011,480
854,Pinches,1,336,207,480,328,0012,480
854,Sloper,0,66,220,198,304,0012,480
854,Sloper,1,1,1,268,104,0012,480
854,Pinches,0,112,365,215,436,0012,480
854,Pinches,0,183,434,273,494,0012,480
854,Crimps,0,391,342,435,409,0012,480
854,Crimps,0,357,414,406,451,0012,480
854,Jugs,0,373,463,420,493,0012,480
854,Jugs,0,276,316,304,335,0012,480
854,Sloper,0,59,327,110,368,0012,480
854,Sloper,0,89,325,140,371,0012,480
480,Volumes,0,2,199,56,253,0013,480
480,Sloper,0,110,360,145,396,0013,480
480,Sloper,0,203,374,233,407,0013,480
480,Sloper,0,193,226,249,298,0013,480
480,Sloper,0,259,198,333,264,0013,480
480,Sloper,0,244,54,349,138,0013,480
480,Crimps,0,46,279,60,291,0013,480
480,Crimps,0,88,316,99,328,0013,480
480,Sloper,0,270,133,295,153,0013,480
480,Sloper,0,292,128,311,145,0013,480
480,Sloper,0,280,145,299,160,0013,480
480,Sloper,0,117,148,145,181,0014,854
480,Sloper,0,122,173,152,206,0014,854
480,Sloper,0,148,264,178,300,0014,854
480,Sloper,0,163,285,194,321,0014,854
480,Sloper,0,165,316,196,352,0014,854
480,Sloper,0,243,355,277,415,0014,854
480,Pinches,0,182,353,217,433,0014,854
480,Pinches,0,138,218,161,266,0014,854
480,Crimps,0,224,172,237,189,0014,854
480,Pinches,0,178,102,188,126,0014,854
480,Jugs,0,172,124,194,163,0014,854
480,Crimps,0,254,57,274,78,0014,854
480,Pinches,0,328,22,354,44,0014,854
480,Sloper,0,388,114,429,157,0014,854
480,Sloper,0,349,119,372,181,0014,854
480,Sloper,0,408,69,434,117,0014,854
480,Sloper,0,431,106,454,137,0014,854
480,Sloper,0,221,196,240,246,0014,854
480,Sloper,0,760,370,783,400,0014,854
480,Sloper,0,811,363,835,399,0014,854
480,Sloper,0,731,375,770,416,0014,854
480,Sloper,0,731,268,756,288,0014,854
480,Sloper,0,727,249,750,270,0014,854
480,Sloper,0,682,270,705,301,0014,854
480,Sloper,0,634,284,660,313,0014,854
480,Sloper,0,645,265,671,303,0014,854
480,Sloper,0,662,251,683,287,0014,854
480,Jugs,0,812,306,843,331,0014,854
480,Jugs,0,800,282,830,307,0014,854
480,Jugs,0,757,181,779,199,0014,854
480,Sloper,0,333,269,354,284,0014,854
480,Sloper,0,333,304,347,321,0014,854
480,Sloper,0,445,292,465,315,0014,854
480,Sloper,0,72,322,92,344,0014,854
480,Sloper,0,96,366,111,381,0014,854
480,Sloper,0,244,436,267,452,0014,854
480,Volumes,0,214,414,231,444,0014,854
480,Volumes,0,224,389,237,421,0014,854
480,Pinches,0,285,360,297,381,0014,854
480,Pinches,0,240,367,249,383,0014,854
480,Pinches,0,221,262,232,277,0014,854
480,Jugs,0,244,202,257,218,0014,854
480,Crimps,0,474,195,485,210,0014,854
480,Pinches,0,248,84,259,102,0014,854
480,Jugs,0,270,19,285,33,0014,854
480,Crimps,0,279,234,293,247,0014,854
480,Crimps,0,182,216,192,226,0014,854
480,Crimps,0,299,308,317,322,0014,854
480,Crimps,0,293,405,312,417,0014,854
480,Crimps,0,301,80,317,93,0014,854
480,Crimps,0,246,151,257,162,0014,854
480,Crimps,0,283,150,297,162,0014,854
480,Crimps,0,388,298,400,309,0014,854
480,Crimps,0,386,310,398,320,0014,854
480,Crimps,0,271,277,282,289,0014,854
480,Crimps,0,287,64,299,76,0014,854
480,Crimps,0,296,194,309,206,0014,854
480,Crimps,0,236,332,246,344,0014,854
480,Sloper,0,488,85,502,103,0014,854
480,Sloper,0,368,105,402,147,0014,854
480,Sloper,0,386,43,419,77,0014,854
480,Jugs,0,763,151,784,168,0014,854
480,Jugs,0,729,153,749,172,0014,854
480,Jugs,0,774,202,794,216,0014,854
480,Jugs,0,790,257,821,277,0014,854
480,Sloper,0,763,312,783,328,0014,854
480,Sloper,0,803,115,829,134,0014,854
480,Sloper,0,827,99,850,120,0014,854
480,Crimps,0,752,219,765,236,0014,854
480,Crimps,0,740,222,752,240,0014,854
480,Crimps,0,730,304,750,325,0014,854
480,Pinches,0,745,318,762,334,0014,854
480,Sloper,0,689,369,710,388,0014,854
480,Sloper,0,831,130,847,156,0014,854
480,Pockets,0,783,173,797,184,0014,854
480,Jugs,0,797,205,812,220,0014,854
480,Sloper,0,671,193,688,227,0014,854
480,Sloper,0,662,355,684,380,0014,854
854,Sloper,0,88,31,187,139,0015,480
854,Sloper,0,100,162,194,241,0015,480
854,Sloper,0,259,62,337,104,0015,480
854,Jugs,0,239,81,263,109,0015,480
854,Jugs,0,229,174,251,198,0015,480
854,Crimps,0,207,137,234,154,0015,480
854,Jugs,0,262,4,283,34,0015,480
854,Volumes,0,264,140,423,249,0015,480
854,Volumes,1,327,1,417,53,0015,480
854,Sloper,1,1,65,63,117,0015,480
854,Pinches,0,57,249,99,285,0015,480
854,Volumes,0,262,395,321,435,0015,480
854,Jugs,0,426,309,466,338,0015,480
854,Jugs,0,435,344,466,378,0015,480
854,Jugs,0,61,284,82,300,0015,480
854,Pinches,0,251,239,385,299,0015,480
854,Jugs,0,293,317,322,348,0015,480
854,Jugs,0,280,453,307,475,0015,480
854,Jugs,0,271,585,287,601,0015,480
854,Crimps,0,433,184,479,269,0015,480
854,Jugs,0,307,363,334,379,0015,480
854,Sloper,0,295,556,348,595,0015,480
854,Sloper,0,259,546,284,561,0015,480
854,Sloper,0,281,494,302,516,0015,480
854,Sloper,0,155,473,188,515,0015,480
854,Sloper,0,185,472,208,491,0015,480
854,Sloper,0,159,425,210,457,0015,480
854,Sloper,0,190,497,234,531,0015,480
854,Sloper,0,220,532,245,553,0015,480
854,Jugs,0,256,465,274,482,0015,480
854,Pockets,0,266,508,286,526,0015,480
854,Jugs,0,313,500,332,515,0015,480
854,Sloper,0,353,493,372,516,0015,480
854,Sloper,0,352,453,390,494,0015,480
854,Jugs,0,448,472,465,490,0015,480
854,Jugs,0,460,436,478,452,0015,480
854,Pinches,0,346,412,366,430,0015,480
854,Jugs,0,324,396,345,411,0015,480
854,Pinches,0,319,440,352,468,0015,480
854,Pinches,0,333,465,351,484,0015,480
854,Jugs,0,301,480,328,498,0015,480
854,Jugs,0,297,517,330,538,0015,480
854,Volumes,1,1,212,132,310,0015,480
854,Volumes,0,19,330,110,395,0015,480
854,Volumes,1,1,390,113,443,0015,480
854,Crimps,0,307,176,338,201,0015,480
854,Crimps,0,372,189,397,216,0015,480
854,Crimps,0,389,313,415,334,0015,480
854,Crimps,0,372,333,396,349,0015,480
854,Sloper,0,154,471,188,514,0015,480
854,Jugs,0,120,467,144,486,0015,480
854,Jugs,0,46,413,66,434,0015,480
854,Sloper,0,213,299,292,352,0015,480
854,Jugs,0,297,595,323,610,0015,480
854,Jugs,0,390,565,404,579,0015,480
854,Jugs,0,406,576,420,592,0015,480
854,Jugs,0,409,548,425,564,0015,480
854,Jugs,0,423,548,435,565,0015,480
854,Sloper,0,357,377,391,404,0015,480
854,Jugs,0,400,410,422,431,0015,480
854,Jugs,0,420,403,439,423,0015,480
854,Jugs,0,392,457,408,479,0015,480
854,Jugs,0,399,489,409,501,0015,480
854,Jugs,0,381,427,400,443,0015,480
854,Sloper,0,357,546,376,573,0015,480
854,Sloper,0,339,595,364,611,0015,480
854,Volumes,1,345,302,480,400,0015,480
480,Volumes,0,359,393,377,423,0016,480
480,Volumes,0,302,416,338,460,0016,480
480,Crimps,0,73,266,89,283,0016,480
480,Crimps,0,122,345,136,358,0016,480
480,Crimps,0,195,429,210,444,0016,480
480,Crimps,0,214,442,227,457,0016,480
480,Crimps,0,90,127,100,138,0016,480
480,Crimps,0,112,6,132,34,0016,480
480,Crimps,0,107,238,113,248,0016,480
480,Sloper,0,235,9,262,40,0016,480
480,Sloper,0,397,361,466,396,0016,480
480,Jugs,0,424,114,479,177,0016,480
480,Crimps,0,184,71,187,76,0016,480
480,Crimps,0,238,67,241,72,0016,480
480,Sloper,0,121,23,188,90,0017,480
480,Sloper,0,76,254,136,329,0017,480
480,Sloper,0,226,265,301,326,0017,480
480,Sloper,0,373,315,405,337,0017,480
480,Sloper,0,318,370,376,412,0017,480
480,Sloper,0,199,272,219,292,0017,480
480,Volumes,0,154,357,223,411,0017,480
480,Volumes,0,358,326,432,385,0017,480
480,Volumes,0,34,176,124,256,0017,480
480,Volumes,0,182,147,294,301,0017,480
480,Sloper,0,687,295,766,342,0018,854
480,Jugs,0,738,200,763,221,0018,854
480,Jugs,0,622,186,649,204,0018,854
480,Jugs,0,681,132,710,156,0018,854
480,Jugs,0,655,30,690,54,0018,854
480,Jugs,0,637,12,664,43,0018,854
480,Sloper,0,709,219,746,243,0018,854
480,Sloper,0,239,122,283,179,0018,854
480,Jugs,0,302,158,324,175,0018,854
480,Sloper,0,203,126,230,154,0018,854
480,Sloper,0,237,171,262,210,0018,854
480,Sloper,0,266,64,294,108,0018,854
480,Jugs,0,266,106,285,121,0018,854
480,Jugs,0,517,21,555,50,0018,854
480,Jugs,0,240,57,259,72,0018,854
480,Jugs,0,619,90,639,106,0018,854
480,Crimps,0,606,161,624,173,0018,854
480,Sloper,0,674,361,706,393,0018,854
480,Sloper,0,290,175,330,235,0018,854
480,Crimps,0,289,145,302,159,0018,854
480,Crimps,0,331,222,345,237,0018,854
480,Jugs,0,221,56,245,80,0018,854
480,Sloper,0,797,363,846,394,0018,854
480,Jugs,0,799,312,822,337,0018,854
480,Crimps,0,757,286,780,312,0018,854
480,Jugs,0,652,124,681,150,0018,854
480,Crimps,0,722,342,758,372,0018,854
480,Crimps,0,620,259,652,279,0018,854
480,Jugs,0,550,170,613,200,0018,854
480,Sloper,1,395,1,506,57,0018,854
480,Sloper,0,367,39,432,135,0018,854
480,Crimps,0,444,99,472,120,0018,854
480,Sloper,0,467,141,538,186,0018,854
480,Sloper,1,231,1,279,39,0018,854
480,Volumes,0,321,88,384,171,0018,854
480,Volumes,0,479,121,647,239,0018,854
480,Volumes,0,242,218,280,268,0018,854
480,Volumes,0,440,289,511,331,0018,854
480,Volumes,0,476,261,521,289,0018,854
480,Volumes,0,471,274,555,305,0018,854
480,Volumes,0,591,252,635,301,0018,854
480,Pinches,0,696,250,721,268,0018,854
480,Sloper,0,788,422,842,476,0018,854
480,Jugs,0,643,293,674,322,0018,854
480,Sloper,0,353,279,400,306,0018,854
480,Volumes,0,535,304,632,352,0018,854
480,Jugs,0,757,358,781,386,0018,854
480,Volumes,0,280,242,365,292,0018,854
480,Volumes,0,338,240,388,277,0018,854
480,Sloper,0,368,144,408,210,0018,854
480,Pockets,0,97,392,131,422,0018,854
480,Sloper,0,140,256,174,286,0018,854
480,Volumes,0,106,333,141,353,0018,854
480,Volumes,0,160,331,185,362,0018,854
480,Sloper,0,147,319,181,349,0018,854
480,Sloper,0,135,391,164,412,0018,854
480,Sloper,0,180,337,215,370,0018,854
480,Sloper,0,226,322,250,345,0018,854
480,Sloper,0,239,304,262,325,0018,854
480,Sloper,0,196,306,228,331,0018,854
480,Sloper,0,211,366,240,390,0018,854
480,Sloper,0,268,323,314,370,0018,854
480,Pinches,0,253,351,267,393,0018,854
480,Pinches,0,20,303,43,351,0018,854
480,Pinches,1,1,366,25,396,0018,854
480,Sloper,0,796,409,846,446,0018,854
854,Jugs,0,350,155,383,182,0019,480
